id,name,date,time,dayOfWeek,facility,staffRequired
"20260531_2","Chủ Nhật, 31/05/2026, Ca 2: 09g30-12g00","2026-05-31","09g30","Chủ Nhật","Cơ sở 1","4"
"20260531_3","Chủ Nhật, 31/05/2026, Ca 3: 13g00-15g30","2026-05-31","13g00","Chủ Nhật","Cơ sở 1","4"
"20260601_1","Thứ 2, 01/06/2026, Ca 1: 07g00-09g30","2026-06-01","07g00","Thứ 2","Cơ sở 2","1"
"20260601_2","Thứ 2, 01/06/2026, Ca 2: 09g30-12g00","2026-06-01","09g30","Thứ 2","Cơ sở 2","32"
"20260601_3","Thứ 2, 01/06/2026, Ca 3: 13g00-15g30","2026-06-01","13g00","Thứ 2","Cơ sở 2","28"
"20260601_4","Thứ 2, 01/06/2026, Ca 4: 15g30-18g00","2026-06-01","15g30","Thứ 2","Cơ sở 2","1"
"20260601_5","Thứ 2, 01/06/2026, Ca 5: 18g15-20g45","2026-06-01","18g15","Thứ 2","Cơ sở 1","1"
"20260608_2","Thứ 2, 08/06/2026, Ca 2: 09g30-12g00","2026-06-08","09g30","Thứ 2","Cơ sở 1","30"
"20260608_3","Thứ 2, 08/06/2026, Ca 3: 13g00-15g30","2026-06-08","13g00","Thứ 2","Cơ sở 1","30"
"20260608_4","Thứ 2, 08/06/2026, Ca 4: 15g30-18g00","2026-06-08","15g30","Thứ 2","Cơ sở 1","4"
"20260518_5","Thứ 2, 18/05/2026, Ca 5: 18g15-20g45","2026-05-18","18g15","Thứ 2","Cơ sở 1","2"
"20260525_2","Thứ 2, 25/05/2026, Ca 2: 09g30-12g00","2026-05-25","09g30","Thứ 2","Cơ sở 2","17"
"20260525_5","Thứ 2, 25/05/2026, Ca 5: 18g15-20g45","2026-05-25","18g15","Thứ 2","Cơ sở 1","3"
"20260602_1","Thứ 3, 02/06/2026, Ca 1: 07g00-09g30","2026-06-02","07g00","Thứ 3","Cơ sở 2","1"
"20260602_2","Thứ 3, 02/06/2026, Ca 2: 09g30-12g00","2026-06-02","09g30","Thứ 3","Cơ sở 2","32"
"20260602_3","Thứ 3, 02/06/2026, Ca 3: 13g00-15g30","2026-06-02","13g00","Thứ 3","Cơ sở 2","32"
"20260602_4","Thứ 3, 02/06/2026, Ca 4: 15g30-18g00","2026-06-02","15g30","Thứ 3","Cơ sở 2","15"
"20260602_5","Thứ 3, 02/06/2026, Ca 5: 18g15-20g45","2026-06-02","18g15","Thứ 3","Cơ sở 1","2"
"20260609_2","Thứ 3, 09/06/2026, Ca 2: 09g30-12g00","2026-06-09","09g30","Thứ 3","Cơ sở 1","5"
"20260609_2","Thứ 3, 09/06/2026, Ca 2: 09g30-12g00","2026-06-09","09g30","Thứ 3","Cơ sở 2","20"
"20260609_3","Thứ 3, 09/06/2026, Ca 3: 13g00-15g30","2026-06-09","13g00","Thứ 3","Cơ sở 2","13"
"20260519_5","Thứ 3, 19/05/2026, Ca 5: 18g15-20g45","2026-05-19","18g15","Thứ 3","Cơ sở 1","3"
"20260526_5","Thứ 3, 26/05/2026, Ca 5: 18g15-20g45","2026-05-26","18g15","Thứ 3","Cơ sở 1","2"
"20260603_1","Thứ 4, 03/06/2026, Ca 1: 07g00-09g30","2026-06-03","07g00","Thứ 4","Cơ sở 2","31"
"20260603_2","Thứ 4, 03/06/2026, Ca 2: 09g30-12g00","2026-06-03","09g30","Thứ 4","Cơ sở 2","31"
"20260603_3","Thứ 4, 03/06/2026, Ca 3: 13g00-15g30","2026-06-03","13g00","Thứ 4","Cơ sở 2","31"
"20260603_4","Thứ 4, 03/06/2026, Ca 4: 15g30-18g00","2026-06-03","15g30","Thứ 4","Cơ sở 2","21"
"20260610_3","Thứ 4, 10/06/2026, Ca 3: 13g00-15g30","2026-06-10","13g00","Thứ 4","Cơ sở 1","4"
"20260610_3","Thứ 4, 10/06/2026, Ca 3: 13g00-15g30","2026-06-10","13g00","Thứ 4","Cơ sở 2","30"
"20260527_2","Thứ 4, 27/05/2026, Ca 2: 09g30-12g00","2026-05-27","09g30","Thứ 4","Cơ sở 2","2"
"20260527_4","Thứ 4, 27/05/2026, Ca 4: 15g30-18g00","2026-05-27","15g30","Thứ 4","Cơ sở 1","1"
"20260527_5","Thứ 4, 27/05/2026, Ca 5: 18g15-20g45","2026-05-27","18g15","Thứ 4","Cơ sở 1","4"
"20260604_1","Thứ 5, 04/06/2026, Ca 1: 07g00-09g30","2026-06-04","07g00","Thứ 5","Cơ sở 2","10"
"20260604_2","Thứ 5, 04/06/2026, Ca 2: 09g30-12g00","2026-06-04","09g30","Thứ 5","Cơ sở 1","7"
"20260604_2","Thứ 5, 04/06/2026, Ca 2: 09g30-12g00","2026-06-04","09g30","Thứ 5","Cơ sở 2","4"
"20260604_3","Thứ 5, 04/06/2026, Ca 3: 13g00-15g30","2026-06-04","13g00","Thứ 5","Cơ sở 2","2"
"20260611_3","Thứ 5, 11/06/2026, Ca 3: 13g00-15g30","2026-06-11","13g00","Thứ 5","Cơ sở 1","2"
"20260611_3","Thứ 5, 11/06/2026, Ca 3: 13g00-15g30","2026-06-11","13g00","Thứ 5","Cơ sở 2","29"
"20260521_5","Thứ 5, 21/05/2026, Ca 5: 18g15-20g45","2026-05-21","18g15","Thứ 5","Cơ sở 1","2"
"20260528_1","Thứ 5, 28/05/2026, Ca 1: 07g00-09g30","2026-05-28","07g00","Thứ 5","Cơ sở 1","1"
"20260528_2","Thứ 5, 28/05/2026, Ca 2: 09g30-12g00","2026-05-28","09g30","Thứ 5","Cơ sở 1","1"
"20260528_3","Thứ 5, 28/05/2026, Ca 3: 13g00-15g30","2026-05-28","13g00","Thứ 5","Cơ sở 1","1"
"20260528_3","Thứ 5, 28/05/2026, Ca 3: 13g00-15g30","2026-05-28","13g00","Thứ 5","Cơ sở 2","14"
"20260528_4","Thứ 5, 28/05/2026, Ca 4: 15g30-18g00","2026-05-28","15g30","Thứ 5","Cơ sở 1","1"
"20260528_5","Thứ 5, 28/05/2026, Ca 5: 18g15-20g45","2026-05-28","18g15","Thứ 5","Cơ sở 1","3"
"20260605_2","Thứ 6, 05/06/2026, Ca 2: 09g30-12g00","2026-06-05","09g30","Thứ 6","Cơ sở 1","22"
"20260605_3","Thứ 6, 05/06/2026, Ca 3: 13g00-15g30","2026-06-05","13g00","Thứ 6","Cơ sở 1","30"
"20260605_4","Thứ 6, 05/06/2026, Ca 4: 15g30-18g00","2026-06-05","15g30","Thứ 6","Cơ sở 1","5"
"20260612_1","Thứ 6, 12/06/2026, Ca 1: 07g00-09g30","2026-06-12","07g00","Thứ 6","Cơ sở 1","30"
"20260612_2","Thứ 6, 12/06/2026, Ca 2: 09g30-12g00","2026-06-12","09g30","Thứ 6","Cơ sở 1","4"
"20260612_3","Thứ 6, 12/06/2026, Ca 3: 13g00-15g30","2026-06-12","13g00","Thứ 6","Cơ sở 1","30"
"20260612_4","Thứ 6, 12/06/2026, Ca 4: 15g30-18g00","2026-06-12","15g30","Thứ 6","Cơ sở 1","21"
"20260522_5","Thứ 6, 22/05/2026, Ca 5: 18g15-20g45","2026-05-22","18g15","Thứ 6","Cơ sở 1","2"
"20260529_1","Thứ 6, 29/05/2026, Ca 1: 07g00-09g30","2026-05-29","07g00","Thứ 6","Cơ sở 1","1"
"20260529_1","Thứ 6, 29/05/2026, Ca 1: 07g00-09g30","2026-05-29","07g00","Thứ 6","Cơ sở 2","31"
"20260529_2","Thứ 6, 29/05/2026, Ca 2: 09g30-12g00","2026-05-29","09g30","Thứ 6","Cơ sở 1","1"
"20260529_3","Thứ 6, 29/05/2026, Ca 3: 13g00-15g30","2026-05-29","13g00","Thứ 6","Cơ sở 1","1"
"20260529_5","Thứ 6, 29/05/2026, Ca 5: 18g15-20g45","2026-05-29","18g15","Thứ 6","Cơ sở 1","3"
"20260613_1","Thứ 7, 13/06/2026, Ca 1: 07g00-09g30","2026-06-13","07g00","Thứ 7","Cơ sở 1","4"
"20260613_2","Thứ 7, 13/06/2026, Ca 2: 09g30-12g00","2026-06-13","09g30","Thứ 7","Cơ sở 1","2"
"20260613_2","Thứ 7, 13/06/2026, Ca 2: 09g30-12g00","2026-06-13","09g30","Thứ 7","Cơ sở 2","6"
"20260613_3","Thứ 7, 13/06/2026, Ca 3: 13g00-15g30","2026-06-13","13g00","Thứ 7","Cơ sở 1","4"
"20260613_3","Thứ 7, 13/06/2026, Ca 3: 13g00-15g30","2026-06-13","13g00","Thứ 7","Cơ sở 2","6"
"20260613_4","Thứ 7, 13/06/2026, Ca 4: 15g30-18g00","2026-06-13","15g30","Thứ 7","Cơ sở 1","4"
"20260613_4","Thứ 7, 13/06/2026, Ca 4: 15g30-18g00","2026-06-13","15g30","Thứ 7","Cơ sở 2","6"
"20260523_3","Thứ 7, 23/05/2026, Ca 3: 13g00-15g30","2026-05-23","13g00","Thứ 7","Cơ sở 1","6"
"20260530_2","Thứ 7, 30/05/2026, Ca 2: 09g30-12g00","2026-05-30","09g30","Thứ 7","Cơ sở 1","4"
"20260530_3","Thứ 7, 30/05/2026, Ca 3: 13g00-15g30","2026-05-30","13g00","Thứ 7","Cơ sở 1","4"